gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,target
Male,Yes,no_enrollment,Graduate,STEM,>20,1,36,1
Male,No,no_enrollment,Graduate,STEM,15-20,>4,47,0
Male,No,Full time course,Graduate,STEM,5-9,never,83,0
Male,No,no_enrollment,Graduate,Business Degree,<1,never,52,1
Male,Yes,no_enrollment,Masters,STEM,>20,4,8,0
Male,Yes,Part time course,Graduate,STEM,10-14,1,24,1
Male,Yes,no_enrollment,High School,STEM,5-9,1,24,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,>4,18,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,46,1
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,123,0
Male,No,Full time course,High School,STEM,1-4,never,32,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,108,0
Male,Yes,no_enrollment,Graduate,STEM,>20,3,23,0
Male,No,no_enrollment,Masters,STEM,1-4,never,24,0
Male,No,Full time course,High School,STEM,5-9,never,26,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,18,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,never,106,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,2,7,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,never,23,1
Female,Yes,no_enrollment,Graduate,Arts,1-4,1,132,1
Male,Yes,no_enrollment,Masters,STEM,10-14,1,68,0
Male,Yes,no_enrollment,Masters,STEM,10-14,2,50,0
Male,Yes,no_enrollment,Masters,STEM,10-14,1,48,0
Male,Yes,no_enrollment,Graduate,Humanities,<1,1,65,0
Female,Yes,no_enrollment,Graduate,STEM,5-9,1,13,0
Male,No,no_enrollment,High School,STEM,1-4,never,22,0
Male,Yes,Part time course,Graduate,STEM,10-14,1,148,1
Male,Yes,no_enrollment,Graduate,Arts,5-9,2,72,0
Male,Yes,no_enrollment,High School,STEM,10-14,1,8,1
Male,Yes,no_enrollment,Graduate,STEM,15-20,2,68,1
Male,Yes,no_enrollment,Graduate,STEM,>20,3,40,0
Male,Yes,Part time course,Graduate,STEM,15-20,>4,141,0
Female,No,Full time course,Graduate,STEM,5-9,1,24,0
Female,Yes,no_enrollment,Graduate,STEM,>20,>4,82,0
Male,Yes,no_enrollment,Graduate,Business Degree,10-14,3,145,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,2,206,0
Male,No,Part time course,High School,STEM,1-4,1,152,0
Male,Yes,no_enrollment,Phd,STEM,>20,4,42,1
Male,No,no_enrollment,Graduate,STEM,10-14,4,50,0
Male,No,no_enrollment,Graduate,Other,1-4,never,106,0
Female,Yes,Full time course,Masters,STEM,15-20,2,14,0
Male,Yes,no_enrollment,High School,No Major,1-4,2,36,0
Male,Yes,no_enrollment,Masters,STEM,5-9,1,112,1
Male,No,no_enrollment,Graduate,No Major,5-9,never,108,0
Male,Yes,Part time course,Masters,STEM,5-9,3,7,1
Female,No,Full time course,Masters,STEM,5-9,never,26,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,never,87,1
Other,Yes,no_enrollment,Graduate,STEM,15-20,4,52,1
Male,Yes,no_enrollment,Graduate,No Major,15-20,>4,20,1
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,21,0
Male,No,no_enrollment,Graduate,STEM,1-4,1,92,1
Male,Yes,no_enrollment,Graduate,STEM,10-14,2,102,0
Male,No,no_enrollment,Graduate,Humanities,5-9,>4,26,0
Male,Yes,no_enrollment,Masters,STEM,1-4,2,7,0
Male,No,Full time course,High School,STEM,1-4,1,43,0
Male,Yes,no_enrollment,Graduate,STEM,>20,1,45,0
Male,Yes,Full time course,Graduate,STEM,1-4,2,52,0
Male,Yes,no_enrollment,Graduate,STEM,>20,2,19,0
Male,Yes,Full time course,Graduate,STEM,1-4,never,32,1
Male,Yes,no_enrollment,Graduate,Humanities,>20,>4,26,1
Male,Yes,Part time course,Graduate,STEM,5-9,1,90,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,3,25,0
Male,Yes,no_enrollment,Masters,STEM,10-14,1,15,0
Male,Yes,no_enrollment,Masters,Humanities,>20,>4,48,0
Male,No,Full time course,High School,STEM,1-4,never,98,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,2,142,1
Other,No,no_enrollment,Masters,Humanities,1-4,4,13,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,47,0
Female,Yes,no_enrollment,Masters,Humanities,10-14,1,28,0
Male,No,Full time course,Masters,STEM,1-4,never,228,1
Male,Yes,no_enrollment,Graduate,STEM,>20,4,22,0
Male,No,Full time course,Graduate,STEM,<1,never,18,1
Male,Yes,no_enrollment,Graduate,STEM,1-4,1,29,0
Male,Yes,no_enrollment,Masters,STEM,5-9,1,46,0
Male,No,Full time course,Graduate,STEM,<1,never,12,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,2,17,0
Male,Yes,no_enrollment,Masters,STEM,5-9,2,65,0
Male,No,no_enrollment,Graduate,Humanities,1-4,1,35,0
Male,No,Full time course,Graduate,STEM,5-9,3,14,0
Female,Yes,no_enrollment,Masters,STEM,1-4,1,4,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,12,0
Male,Yes,no_enrollment,Graduate,STEM,>20,2,108,0
Male,No,no_enrollment,Graduate,STEM,>20,1,136,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,27,0
Male,Yes,Part time course,Masters,STEM,1-4,1,74,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,1,86,0
Female,No,Part time course,Graduate,STEM,<1,2,83,0
Female,No,Full time course,High School,STEM,1-4,3,75,0
Male,No,Full time course,Masters,STEM,10-14,2,42,0
Female,Yes,no_enrollment,Graduate,STEM,5-9,1,332,0
Male,No,Full time course,Graduate,STEM,1-4,1,140,0
Male,No,no_enrollment,High School,Humanities,1-4,never,182,0
Female,No,no_enrollment,Graduate,Humanities,1-4,1,13,1
Female,Yes,no_enrollment,Graduate,STEM,5-9,2,172,1
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,48,0
Male,Yes,Full time course,Graduate,STEM,5-9,1,33,0
Male,No,Full time course,High School,STEM,1-4,1,142,0
Male,No,Full time course,Graduate,STEM,1-4,1,34,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,2,14,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,2,27,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,24,1
Male,No,no_enrollment,Masters,STEM,>20,1,150,0
Female,Yes,no_enrollment,Graduate,STEM,10-14,>4,20,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,140,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,52,0
Male,Yes,no_enrollment,Graduate,STEM,>20,2,160,0
Male,Yes,no_enrollment,Masters,STEM,5-9,2,3,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,2,2,1
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,28,0
Male,Yes,no_enrollment,Graduate,Other,>20,4,46,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,210,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,36,0
Male,No,Full time course,Graduate,STEM,1-4,1,160,1
Male,Yes,Full time course,Graduate,STEM,1-4,2,101,0
Male,Yes,no_enrollment,Masters,STEM,5-9,1,46,0
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,19,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,2,26,1
Male,Yes,Full time course,Graduate,STEM,5-9,1,90,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,4,59,0
Male,Yes,Part time course,Graduate,Business Degree,10-14,1,260,0
Female,Yes,no_enrollment,Graduate,STEM,10-14,>4,74,0
Male,Yes,no_enrollment,Phd,STEM,>20,2,20,1
Male,Yes,no_enrollment,Graduate,STEM,10-14,2,8,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,131,0
Male,Yes,Full time course,Masters,STEM,5-9,1,45,0
Male,Yes,Full time course,Graduate,STEM,10-14,2,109,0
Male,Yes,no_enrollment,Graduate,Humanities,1-4,1,70,0
Female,Yes,no_enrollment,Graduate,STEM,>20,>4,17,0
Female,No,no_enrollment,Masters,STEM,15-20,1,51,0
Female,Yes,no_enrollment,Graduate,STEM,5-9,3,60,1
Male,No,no_enrollment,Phd,STEM,>20,>4,4,0
Male,No,no_enrollment,Graduate,STEM,10-14,>4,7,0
Male,Yes,no_enrollment,Masters,STEM,>20,3,164,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,4,290,0
Male,No,no_enrollment,High School,STEM,1-4,never,145,0
Male,No,no_enrollment,Phd,STEM,>20,>4,70,0
Male,No,no_enrollment,Graduate,STEM,1-4,1,24,0
Male,No,no_enrollment,Masters,Humanities,1-4,1,133,1
Male,No,Full time course,Graduate,STEM,1-4,1,20,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,76,0
Female,No,Full time course,Masters,STEM,5-9,4,21,1
Female,Yes,no_enrollment,Graduate,Other,5-9,2,34,0
Male,No,no_enrollment,Graduate,STEM,5-9,2,15,0
Male,No,no_enrollment,Graduate,STEM,>20,>4,156,0
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,15,0
Female,Yes,no_enrollment,Masters,STEM,>20,never,120,0
Male,Yes,no_enrollment,Graduate,No Major,10-14,>4,47,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,2,100,1
Male,Yes,Part time course,Graduate,STEM,5-9,never,102,0
Male,No,no_enrollment,High School,Business Degree,1-4,never,52,0
Male,Yes,no_enrollment,High School,STEM,5-9,4,39,0
Male,Yes,Full time course,High School,Business Degree,1-4,1,112,1
Male,No,no_enrollment,Phd,STEM,>20,>4,14,0
Female,Yes,no_enrollment,Graduate,STEM,10-14,1,4,0
Male,Yes,no_enrollment,Masters,Arts,>20,>4,55,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,4,49,1
Male,Yes,no_enrollment,Graduate,STEM,15-20,>4,72,0
Male,Yes,Full time course,Graduate,STEM,10-14,3,141,1
Male,No,no_enrollment,High School,Humanities,5-9,never,28,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,6,0
Male,Yes,no_enrollment,Graduate,No Major,15-20,1,125,0
Male,Yes,no_enrollment,Graduate,STEM,>20,never,326,0
Male,Yes,no_enrollment,Graduate,Other,>20,2,33,0
Male,No,no_enrollment,Masters,STEM,5-9,>4,40,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,1,198,1
Female,Yes,no_enrollment,Masters,STEM,15-20,>4,55,0
Male,No,no_enrollment,Graduate,STEM,>20,>4,32,0
Male,Yes,no_enrollment,Graduate,Arts,>20,>4,11,0
Male,Yes,no_enrollment,Graduate,STEM,>20,1,41,0
Male,Yes,no_enrollment,Masters,STEM,>20,>4,87,1
Male,Yes,no_enrollment,Masters,STEM,10-14,4,114,0
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,33,0
Male,Yes,Part time course,Masters,STEM,5-9,1,15,0
Male,No,Full time course,High School,STEM,1-4,1,8,0
Female,Yes,Part time course,High School,STEM,1-4,1,22,0
Male,Yes,no_enrollment,Masters,STEM,>20,4,13,0
Male,Yes,no_enrollment,Graduate,STEM,>20,1,246,0
Male,Yes,no_enrollment,Masters,STEM,5-9,1,22,0
Male,Yes,no_enrollment,Masters,STEM,>20,1,81,0
Male,Yes,Full time course,Graduate,STEM,1-4,1,11,0
Male,No,Full time course,Graduate,STEM,5-9,1,24,1
Male,Yes,no_enrollment,Graduate,STEM,>20,1,50,0
Male,No,Full time course,High School,No Major,5-9,never,15,0
Male,Yes,no_enrollment,Masters,STEM,>20,>4,31,0
Male,Yes,no_enrollment,Masters,STEM,>20,never,84,0
Male,Yes,Part time course,Graduate,STEM,1-4,1,42,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,>4,105,1
Female,Yes,no_enrollment,Graduate,STEM,>20,>4,72,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,>4,42,1
Male,Yes,no_enrollment,Graduate,STEM,15-20,1,152,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,1,60,0
Male,No,Full time course,Masters,STEM,1-4,never,8,0
Male,No,Full time course,Masters,STEM,10-14,3,17,1
Male,No,no_enrollment,High School,STEM,1-4,1,33,0
Male,Yes,no_enrollment,Masters,STEM,1-4,never,38,0
Male,Yes,no_enrollment,Graduate,Humanities,10-14,2,178,0
Male,Yes,no_enrollment,Graduate,STEM,15-20,1,11,0
Male,Yes,no_enrollment,High School,STEM,>20,never,87,0
Male,Yes,no_enrollment,Graduate,STEM,10-14,never,84,0
Male,Yes,no_enrollment,Graduate,STEM,>20,2,32,0
Male,Yes,no_enrollment,Masters,STEM,5-9,1,31,1
Male,No,no_enrollment,Graduate,STEM,1-4,1,39,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,12,0
Male,Yes,Full time course,Graduate,STEM,5-9,1,50,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,1,55,1
Male,Yes,no_enrollment,Graduate,STEM,5-9,>4,7,1
Male,Yes,no_enrollment,Masters,Humanities,1-4,1,104,0
Male,Yes,Full time course,Graduate,Business Degree,>20,>4,90,1
Male,Yes,no_enrollment,Masters,Other,>20,>4,8,0
Male,No,Full time course,Graduate,STEM,1-4,never,102,0
Male,Yes,no_enrollment,Masters,STEM,<1,1,202,1
Male,Yes,no_enrollment,Graduate,STEM,1-4,1,22,0
Male,No,Full time course,Graduate,STEM,1-4,never,42,0
Male,No,no_enrollment,Primary School,STEM,1-4,never,50,0
Male,Yes,no_enrollment,Masters,STEM,1-4,1,88,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,4,81,0
Male,Yes,no_enrollment,Masters,STEM,>20,1,7,0
Male,No,no_enrollment,Graduate,STEM,1-4,never,218,0
Male,Yes,no_enrollment,Graduate,STEM,>20,>4,62,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,1,83,0
Male,Yes,no_enrollment,Graduate,STEM,5-9,>4,11,0
Male,No,Part time course,Phd,STEM,>20,>4,10,0
Male,Yes,no_enrollment,Masters,STEM,10-14,1,114,0
Male,Yes,no_enrollment,Masters,STEM,1-4,1,36,0
Male,No,no_enrollment,Masters,STEM,5-9,1,17,0
Male,No,Full time course,Graduate,STEM,1-4,never,80,1
Male,Yes,Part time course,Graduate,STEM,>20,>4,108,0
Male,Yes,no_enrollment,Graduate,STEM,1-4,2,45,0
Male,No,Full time course,Graduate,STEM,5-9,never,77,0
Male,Yes,no_enrollment,Masters,STEM,15-20,2,8,0
Male,No,no_enrollment,Graduate,STEM,5-9,1,28,0
Female,Yes,no_enrollment,Graduate,STEM,5-9,>4,37,0
